project,cheapest_category,cheapest_confs,cheapest_runtime,cheapest_price,cheapest_github_caliber_confs,cheapest_github_caliber_runtime,cheapest_github_caliber_price,cheapest_github_caliber_runtime_rate,cheapest_github_caliber_price_saving,cheapest_smart_baseline_confs,cheapest_smart_baseline_runtime,cheapest_smart_baseline_price,cheapest_smart_baseline_runtime_rate,cheapest_smart_baseline_price_saving,fastest_category,fastest_confs,fastest_runtime,fastest_price,fastest_github_caliber_confs,fastest_github_caliber_runtime,fastest_github_caliber_price,fastest_github_caliber_runtime_rate,fastest_github_caliber_price_saving,fastest_smart_baseline_confs,fastest_smart_baseline_runtime,fastest_smart_baseline_price,fastest_smart_baseline_runtime_rate,fastest_smart_baseline_price_saving
activiti_dot,6-0-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",807.77,0.31,{'27CPU2Mem8GB.sh': 6},74.15,0.72,10.89,0.57,{'23CPU05Mem4GB.sh': 6},205.14,0.53,3.94,0.41,12-0-fast,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 11}",49.24,1.36,{'27CPU2Mem8GB.sh': 12},54.01,0.72,0.09,1.89,{'23CPU05Mem4GB.sh': 12},159.18,0.53,0.69,2.57
assertj-core_dot,4-0-cheap,"{'29CPU4Mem8GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",22.97,0.01,{'27CPU2Mem8GB.sh': 4},6.35,0.01,3.62,0.45,{'27CPU2Mem8GB.sh': 4},6.35,0.01,3.62,0.45,12-0-fast,{'29CPU4Mem8GB.sh': 12},5.16,0.01,{'27CPU2Mem8GB.sh': 12},6.06,0.01,0.15,0.64,{'27CPU2Mem8GB.sh': 12},6.06,0.01,0.15,0.64
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension,1-0-cheap,{'19CPU010Mem1GB.sh': 1},140.38,0.01,{'27CPU2Mem8GB.sh': 1},27.28,0.07,5.15,0.88,{'01noThrottling.sh': 1},26.61,0.13,5.28,0.94,2-0-fast,{'29CPU4Mem8GB.sh': 2},16.58,0.11,{'27CPU2Mem8GB.sh': 2},17.26,0.07,0.04,1.69,{'01noThrottling.sh': 2},16.60,0.13,0.00,0.85
commons-exec_dot,4-0-cheap,"{'19CPU010Mem1GB.sh': 2, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1}",81.06,0.02,{'27CPU2Mem8GB.sh': 4},40.13,0.16,2.02,0.90,{'01noThrottling.sh': 4},40.01,0.32,2.03,0.95,12-0-fast,{'01noThrottling.sh': 12},38.01,0.32,{'27CPU2Mem8GB.sh': 12},38.13,0.16,0.00,2.00,{'01noThrottling.sh': 12},38.01,0.32,0.00,1.00
db-scheduler_dot,1-0-cheap,{'19CPU010Mem1GB.sh': 1},76.97,0.01,{'27CPU2Mem8GB.sh': 1},13.26,0.03,5.81,0.82,{'28CPU2Mem16GB.sh': 1},13.18,0.04,5.84,0.86,6-0-fast,{'29CPU4Mem8GB.sh': 6},12.00,0.05,{'27CPU2Mem8GB.sh': 6},12.25,0.03,0.02,1.70,{'28CPU2Mem16GB.sh': 6},12.17,0.04,0.01,1.29
delight-nashorn-sandbox_dot,2-0-cheap,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",17.05,0.04,{'27CPU2Mem8GB.sh': 2},11.90,0.05,1.43,0.19,{'29CPU4Mem8GB.sh': 2},10.92,0.07,1.56,0.48,12-0-fast,{'29CPU4Mem8GB.sh': 12},6.68,0.07,{'27CPU2Mem8GB.sh': 12},7.17,0.05,0.07,1.56,{'29CPU4Mem8GB.sh': 12},6.68,0.07,0.00,1.00
elastic-job-lite_dot,4-0-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",247.95,0.02,{'27CPU2Mem8GB.sh': 4},35.86,0.06,6.92,0.72,{'19CPU010Mem1GB.sh': 4},283.58,0.03,0.87,0.42,12-0-fast,{'01noThrottling.sh': 12},27.36,0.13,{'27CPU2Mem8GB.sh': 12},34.92,0.07,0.22,1.97,{'19CPU010Mem1GB.sh': 12},267.19,0.03,0.90,3.93
elastic-job-lite_elastic-job-lite-core,4-0-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",93.95,0.01,{'27CPU2Mem8GB.sh': 4},18.70,0.05,5.02,0.74,{'01noThrottling.sh': 4},18.35,0.09,5.12,0.87,12-0-fast,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 11}",17.42,0.08,{'27CPU2Mem8GB.sh': 12},17.75,0.05,0.02,1.77,{'01noThrottling.sh': 12},17.43,0.09,0.00,0.90
esper_examples.rfidassetzone,2-0-cheap,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",55.18,0.01,{'27CPU2Mem8GB.sh': 2},7.19,0.02,7.67,0.65,{'19CPU010Mem1GB.sh': 2},71.92,0.01,0.77,0.28,2-0-fast,{'01noThrottling.sh': 2},6.88,0.04,{'27CPU2Mem8GB.sh': 2},7.19,0.02,0.04,1.91,{'19CPU010Mem1GB.sh': 2},71.92,0.01,0.90,3.94
fastjson_dot,6-0-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1}",208.15,0.05,{'27CPU2Mem8GB.sh': 6},13.38,0.08,15.55,0.45,{'01noThrottling.sh': 6},12.53,0.16,16.61,0.71,12-0-fast,"{'29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 9}",10.36,0.15,{'27CPU2Mem8GB.sh': 12},11.41,0.09,0.09,1.78,{'01noThrottling.sh': 12},10.78,0.16,0.04,0.93
